Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,143.000000,157.399994,141.100006,157.000000,124.476265,102677194
2017-10-01,157.600006,170.399994,151.800003,165.899994,131.532547,123912690
2017-11-01,166.500000,171.300003,156.800003,159.199997,126.220528,100142898
2017-12-01,159.300003,164.100006,152.199997,152.699997,121.067047,91854899
2018-01-01,152.699997,167.649994,150.750000,160.850006,127.528709,105767202
2018-02-01,161.850006,163.300003,148.100006,156.949997,124.436615,115335691
2018-03-01,156.350006,157.949997,144.800003,152.250000,120.710258,111662647
2018-04-01,152.250000,162.550003,143.399994,149.199997,118.292091,122813739
2018-05-01,149.199997,163.449997,149.199997,155.300003,126.712669,103440567
2018-06-01,152.600006,155.750000,136.000000,143.199997,116.839989,97629549
2018-07-01,141.699997,156.000000,138.300003,154.149994,125.774338,102179119
2018-08-01,154.300003,160.750000,145.000000,157.500000,128.507690,85044835
2018-09-01,157.449997,162.199997,151.399994,157.100006,128.181305,75340402
2018-10-01,157.000000,161.300003,128.500000,136.800003,111.618095,164016431
2018-11-01,136.750000,140.649994,121.000000,126.599998,103.295700,108976891
2018-12-01,129.550003,133.100006,113.349998,115.949997,94.606125,93781617
2019-01-01,115.949997,132.250000,112.849998,130.050003,106.110626,111151295
2019-02-01,130.500000,139.800003,128.199997,136.000000,110.965363,87069615
2019-03-01,136.850006,145.000000,131.699997,144.000000,117.492729,101049322
2019-04-01,146.300003,155.000000,141.149994,152.000000,124.020126,113164361
2019-05-01,152.000000,152.399994,131.350006,132.750000,111.964233,102997489
2019-06-01,132.000000,150.000000,130.949997,147.350006,124.278191,82456613
2019-07-01,149.449997,152.000000,141.100006,144.250000,121.663582,92123231
2019-08-01,143.500000,145.000000,125.300003,135.500000,114.283646,83014756
2019-09-01,135.600006,146.149994,131.699997,138.250000,116.603043,82571398
2019-10-01,138.250000,148.699997,126.300003,144.399994,121.790077,120589929
2019-11-01,144.500000,154.399994,144.000000,148.050003,124.868591,79711885
2019-12-01,148.500000,160.399994,141.649994,156.899994,132.332855,88761824
2020-01-01,156.899994,169.399994,148.899994,165.300003,139.417603,106647101
2020-02-01,165.399994,175.100006,146.149994,148.800003,125.501137,104794084
2020-03-01,153.550003,155.250000,95.000000,119.500000,100.788887,228506367
2020-04-01,116.000000,130.699997,111.800003,126.150002,106.397652,150463686
2020-05-01,126.150002,138.699997,113.699997,133.250000,117.511337,112579496
2020-06-01,134.899994,154.399994,131.699997,145.899994,128.667191,145550126
2020-07-01,145.649994,167.500000,144.750000,150.899994,133.076614,106649152
2020-08-01,150.899994,168.449997,150.399994,165.300003,145.775787,72755294
2020-09-01,166.149994,176.500000,163.100006,173.050003,152.610413,92397090
2020-10-01,174.000000,188.550003,165.600006,173.149994,152.698593,99075118
2020-11-01,174.699997,207.899994,173.699997,194.800003,171.791428,105801856
2020-12-01,200.500000,201.000000,189.399994,193.800003,170.909546,75932417
2021-01-01,193.800003,220.800003,193.800003,206.800003,182.374054,71640274
2021-02-01,208.500000,223.300003,207.600006,216.300003,190.751999,105779428
2021-03-01,218.100006,240.800003,216.100006,220.899994,194.808655,128820078
2021-04-01,206.300003,217.699997,201.550003,206.850006,182.418167,120413874
2021-05-01,207.199997,223.199997,205.649994,217.100006,199.589233,87977546
2021-06-01,218.750000,230.000000,204.250000,205.899994,189.292603,78923970
2021-07-01,207.300003,215.149994,192.160004,202.750000,195.011444,89989601
2021-08-01,203.899994,207.500000,189.520004,195.139999,187.691910,67419192
2021-09-01,195.500000,200.100006,182.000000,197.059998,189.538620,89992512
2021-10-01,193.259995,204.449997,190.839996,199.919998,192.289459,82830039
2021-11-01,200.500000,214.850006,192.039993,195.419998,187.961212,64176152
2021-12-01,197.960007,210.250000,193.899994,209.649994,201.648087,74629073
2022-01-01,209.649994,223.850006,204.699997,208.250000,200.301529,84609889
2022-02-01,210.699997,218.649994,178.600006,183.779999,176.765488,82340641
2022-03-01,181.320007,188.199997,152.600006,176.600006,169.859543,124200821
2022-04-01,177.000000,177.100006,151.660004,158.440002,152.392670,107852713
2022-05-01,157.800003,174.979996,148.240005,171.059998,171.059998,91638344
2022-06-01,173.580002,181.300003,156.699997,158.380005,158.380005,70666028
2022-07-01,157.639999,181.940002,155.000000,181.559998,181.559998,75486302
2022-08-01,181.960007,185.300003,172.720001,174.199997,174.199997,42588677
