Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,80.963959,87.250626,80.310143,82.481140,80.785500,43274764
2017-10-01,82.506287,86.278290,80.326904,83.302597,81.590096,39091987
2017-11-01,84.241409,88.005028,79.262367,87.736801,85.933121,45853672
2017-12-01,87.317688,89.660004,82.970001,84.830002,83.334541,41769440
2018-01-01,84.889999,95.970001,84.500000,94.879997,93.207359,43540100
2018-02-01,90.830002,96.910004,86.180000,91.330002,89.719955,33714600
2018-03-01,91.120003,93.070000,81.139999,84.970001,83.663765,32133100
2018-04-01,84.589996,88.930000,80.620003,84.580002,83.279755,26620000
2018-05-01,84.709999,98.790001,83.690002,97.500000,96.001144,33863200
2018-06-01,98.309998,103.230003,90.129997,91.629997,90.434662,27932500
2018-07-01,91.010002,98.400002,89.500000,98.070000,96.790649,31873200
2018-08-01,98.010002,98.769997,87.349998,88.010002,86.861900,35189600
2018-09-01,87.809998,92.980003,83.040001,83.900002,82.805504,43271100
2018-10-01,85.250000,86.769997,71.660004,76.800003,75.798134,74631300
2018-11-01,77.260002,79.839996,70.410004,71.900002,70.962051,44239100
2018-12-01,74.489998,76.650002,58.799999,61.570000,60.766808,42585600
2019-01-01,60.349998,79.720001,58.910000,79.129997,78.097733,46555700
2019-02-01,78.209999,83.940002,73.629997,83.110001,82.025810,34108500
2019-03-01,83.989998,84.959999,77.110001,79.489998,78.673264,33268900
2019-04-01,80.680000,91.320000,80.389999,85.699997,84.819458,24888500
2019-05-01,85.980003,86.150002,63.360001,64.040001,63.382011,42477200
2019-06-01,64.199997,82.510002,64.099998,80.830002,80.220940,34450000
2019-07-01,82.500000,88.980003,74.910004,87.650002,86.989548,28452300
2019-08-01,88.550003,88.830002,78.559998,83.169998,82.543297,24644300
2019-09-01,82.900002,91.570000,80.879997,87.419998,86.997597,20439000
2019-10-01,87.589996,92.760002,80.529999,89.550003,89.117310,24936100
2019-11-01,90.720001,97.639999,88.820000,93.879997,93.426384,29697900
2019-12-01,94.720001,99.040001,91.720001,94.970001,94.729073,21544200
2020-01-01,95.940002,96.339996,84.510002,84.790001,84.574898,34770900
2020-02-01,85.570000,92.500000,73.800003,78.110001,77.911842,29901600
2020-03-01,78.709999,84.870003,29.219999,49.240002,49.240002,71411100
2020-04-01,44.619999,72.410004,43.040001,69.550003,69.550003,45220700
2020-05-01,67.400002,81.959999,57.259998,75.349998,75.349998,36881100
2020-06-01,75.930000,89.739998,71.800003,77.919998,77.919998,88282600
2020-07-01,77.910004,84.349998,74.000000,77.750000,77.750000,33279000
2020-08-01,78.250000,91.510002,78.250000,86.120003,86.120003,27892700
2020-09-01,85.320000,93.279999,82.120003,91.680000,91.680000,38356600
2020-10-01,92.750000,102.180000,91.239998,96.489998,96.489998,36313500
2020-11-01,97.010002,122.070000,95.650002,118.699997,118.699997,36116900
2020-12-01,122.370003,131.229996,119.750000,130.289993,130.289993,29960700
2021-01-01,131.360001,152.779999,127.209999,133.600006,133.600006,40897100
2021-02-01,135.240005,159.500000,135.240005,149.839996,149.839996,37350300
2021-03-01,151.059998,160.139999,133.630005,137.899994,137.899994,43243200
2021-04-01,139.710007,148.080002,133.550003,143.889999,143.889999,26830800
2021-05-01,145.050003,151.949997,133.449997,150.419998,150.419998,26566300
2021-06-01,152.220001,160.000000,146.630005,157.330002,157.330002,31531900
2021-07-01,158.479996,168.679993,143.460007,166.850006,166.850006,22837600
2021-08-01,168.289993,170.470001,150.169998,152.190002,152.190002,26426000
2021-09-01,151.759995,156.300003,140.600006,148.970001,148.970001,30397200
2021-10-01,150.380005,173.210007,147.970001,172.889999,172.889999,29052000
2021-11-01,174.270004,180.809998,159.649994,160.350006,160.350006,34130400
2021-12-01,164.910004,170.759995,151.229996,164.949997,164.949997,27063900
2022-01-01,166.380005,175.910004,127.629997,136.580002,136.580002,40552500
2022-02-01,138.309998,147.050003,125.559998,129.440002,129.440002,38785600
2022-03-01,128.699997,129.199997,94.750000,119.709999,119.709999,68260700
2022-04-01,120.529999,121.989998,101.769997,106.400002,106.400002,32165400
2022-05-01,106.120003,110.940002,88.150002,106.239998,106.239998,49271900
2022-06-01,106.769997,111.370003,84.139999,89.070000,89.070000,42734800
2022-07-01,89.080002,105.000000,85.059998,104.889999,104.889999,33684500
2022-08-01,103.639999,111.769997,95.839996,97.500000,97.500000,39197900
2022-08-24,96.550003,98.650002,96.300003,97.500000,97.500000,1000664
