Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,14.830000,15.650000,14.440000,14.455000,8.845914,0
2017-12-01,14.150000,15.510000,14.150000,15.205000,9.304884,0
2018-01-01,15.205000,19.844000,15.205000,19.478001,11.919798,0
2018-02-01,19.247999,19.247999,17.348000,17.600000,10.770534,0
2018-03-01,17.028000,17.591999,16.049999,16.566000,10.137766,1250
2018-04-01,16.566000,19.733999,16.566000,18.563999,11.360464,400
2018-05-01,18.563999,19.318001,17.844000,18.912001,11.573428,31569
2018-06-01,19.604000,19.648001,15.680000,16.358000,10.010477,100480
2018-07-01,16.020000,17.393999,13.954000,14.586000,8.926082,102845
2018-08-01,14.504000,15.190000,13.480000,14.572000,8.917512,34468
2018-09-01,14.666000,15.632000,14.240000,15.198000,9.300600,12298
2018-10-01,15.500000,15.696000,13.190000,13.440000,8.224771,87842
2018-11-01,13.440000,14.926000,13.440000,14.602000,8.935870,26841
2018-12-01,15.112000,15.212000,12.408000,12.850000,7.863714,22214
2019-01-01,12.850000,14.928000,12.334000,14.928000,9.135371,34710
2019-02-01,14.988000,15.238000,12.698000,12.988000,7.948164,47053
2019-03-01,13.138000,13.586000,12.520000,13.264000,8.117065,51259
2019-04-01,13.490000,14.696000,13.398000,13.712000,8.391225,20873
2019-05-01,13.712000,14.164000,11.296000,11.450000,7.331271,50746
2019-06-01,11.302000,12.426000,11.190000,12.254000,8.692383,11134
2019-07-01,12.458000,12.756000,11.576000,12.014000,8.522139,9349
2019-08-01,12.000000,12.082000,11.028000,11.826000,8.388782,8624
2019-09-01,11.910000,12.752000,11.780000,11.850000,8.405805,7656
2019-10-01,11.934000,14.140000,11.134000,13.954000,9.898279,19095
2019-11-01,13.772000,14.696000,13.380000,13.416000,9.516649,13677
2019-12-01,13.542000,13.742000,12.874000,13.298000,9.432945,26150
2020-01-01,13.298000,13.354000,11.718000,11.730000,8.320683,17175
2020-02-01,11.760000,12.716000,11.128000,11.250000,7.980195,28740
2020-03-01,10.952000,11.048000,5.785000,6.534000,4.634898,126368
2020-04-01,6.404000,8.180000,6.170000,8.045000,5.706726,151400
2020-05-01,8.045000,8.045000,6.631078,7.510353,5.891228,228553
2020-06-01,7.510353,9.052640,7.510353,8.479736,6.651626,189464
2020-07-01,8.479736,8.893290,8.182851,8.209409,6.439577,125106
2020-08-01,8.242607,9.479473,8.154395,8.744372,6.859210,107216
2020-09-01,8.720660,10.427989,8.515780,9.970804,7.821240,128898
2020-10-01,9.991672,10.524738,9.703323,9.985980,7.833145,56822
2020-11-01,10.242080,12.545078,10.236389,12.490064,9.797384,49861
2020-12-01,12.541284,14.168938,12.497652,13.998205,10.980392,24957
2021-01-01,13.998205,14.383303,11.981659,12.040467,9.444714,17926
2021-02-01,12.040467,12.909308,12.040467,12.780310,11.562623,6152
2021-03-01,12.949146,15.372000,12.949146,15.124000,13.683009,622
2021-04-01,15.112000,15.346000,13.830000,13.830000,12.595751,0
2021-05-01,13.998000,16.257999,13.978000,16.257999,15.124430,227
2021-06-01,16.360001,17.482000,16.360001,16.586000,15.429562,90
2021-07-01,16.646000,16.948000,15.110000,16.233999,15.102103,100
2021-08-01,16.370001,18.642000,16.370001,16.990000,15.805392,575
2021-09-01,16.872000,17.468000,15.960000,16.978001,15.794230,100
2021-10-01,16.978001,17.559999,15.994000,17.282000,16.077034,0
2021-11-01,17.427999,18.125999,15.502000,15.586000,14.499286,800
2021-12-01,15.586000,16.906000,15.586000,16.700001,15.535613,3874
2022-01-01,17.344000,19.124001,16.830000,17.054001,15.864931,1080
2022-02-01,17.270000,17.270000,15.916000,16.389999,15.247227,300
2022-03-01,15.300000,15.372000,12.970000,15.372000,14.300206,5340
2022-04-01,14.916000,14.916000,12.762000,12.762000,11.872185,150
2022-05-01,12.866000,13.938000,12.576000,13.938000,13.938000,420
2022-06-01,13.938000,14.286000,11.830000,11.830000,11.830000,820
2022-07-01,11.636000,13.960000,11.420000,13.960000,13.960000,6
2022-08-01,14.084000,15.024000,13.810000,14.174000,14.174000,1
